Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites
Kevin,215298957,91674,"@TheAINDREW @Utorak007 @MunchGamer I still remember how long this took you, came out fantastic",[],Wed Jan 23 01:31:38 +0000 2019,6
Kevin,215298957,91674,@Kiwion @charliesheen @maxim_aus @arthurstjohn @parniaporsche This is BIG if true. I didn't know it went this high up,[],Wed Jan 23 00:33:30 +0000 2019,10
Kevin,215298957,91674,Ever wish your roomba could defend your home by grinding up any criminal into meat? Well there's a game for it https://t.co/3z1FQsYYLD,[],Tue Jan 22 20:00:22 +0000 2019,1068
Kevin,215298957,91674,Who loves Babe the pig and wants to see a horrible PS2 game based on it? I know you do https://t.co/F4LM3MDt6H,[],Mon Jan 21 20:00:23 +0000 2019,1111
Kevin,215298957,91674,Magic: The Gathering Arena but I keep using the worst cards #ad https://t.co/0XCUpwNWfO @wizards_magic https://t.co/2BHBBoZgdT,ad,Sun Jan 20 20:00:13 +0000 2019,419
Kevin,215298957,91674,"Reuploaded the escapists 2 video, couldn't resolve the issue with Youtube. Sorry if you've seen it already https://t.co/6pSZKbGCrz",[],Sun Jan 20 14:00:09 +0000 2019,860
Kevin,215298957,91674,"The Universim gives you a chance to be a god, I am a merciless god https://t.co/c6ofEo2ooD",[],Sat Jan 19 20:00:19 +0000 2019,644
Kevin,215298957,91674,@WilburSoot It was the only craft I could teach people,[],Sat Jan 19 13:32:48 +0000 2019,102
Kevin,215298957,91674,Amazing news regarding article 13. No doubt this is due to the massive public outcry. Really important that we keep… https://t.co/k0Bjq2XO2U,[],Sat Jan 19 11:44:00 +0000 2019,1696
Kevin,215298957,91674,@MessYourself I did a little reaction video a good while back so I have that at least. Was funny to see how bad the… https://t.co/KXAlmlnQi6,[],Sat Jan 19 11:22:04 +0000 2019,79
Kevin,215298957,91674,"@chrismd10 Hahaha, my one true skill was being annoying",[],Sat Jan 19 11:20:48 +0000 2019,98
Kevin,215298957,91674,"@BoomLiam_ Wait you speak Irish!? Abort, abort",[],Sat Jan 19 01:49:20 +0000 2019,25
Kevin,215298957,91674,"Aw man, all my machinima videos from years ago are now gone. They didn't pay me for them anymore but they were nost… https://t.co/hPZ4vPgb9l",[],Sat Jan 19 01:48:47 +0000 2019,2813
Kevin,215298957,91674,"@BoomLiam_ Níl, is maith liom tú an iomarca",[],Sat Jan 19 01:47:13 +0000 2019,18
Kevin,215298957,91674,@BoomLiam_ what about irish,[],Sat Jan 19 01:42:46 +0000 2019,192
Kevin,215298957,91674,"Resident Evil 4, the real evil is how unwelcoming the village is or maybe I am the problem https://t.co/mPRRY7tX07",[],Fri Jan 18 20:03:02 +0000 2019,736
Kevin,215298957,91674,"RT @YouTube: People asked us what YouTube would look like if Article 13 gets implemented in the wrong way. 

So we mocked this up...

Does…",[],Fri Jan 18 02:02:48 +0000 2019,30577
Kevin,215298957,91674,The walking dead final season is back and unfortunately so am I. I am gonna ruin that kid's life https://t.co/OBJIL6nEKp,[],Thu Jan 17 20:00:24 +0000 2019,1012
Kevin,215298957,91674,@DrewHenery1 Sell your Vive,[],Thu Jan 17 02:42:27 +0000 2019,7
Kevin,215298957,91674,"My Fable annual series continues, see ya next year for the next one. Sponsored by Netmarble, Get Marvel Future figh… https://t.co/Kk2Eg0DkBs",[],Wed Jan 16 21:18:34 +0000 2019,832
Kevin,215298957,91674,wow what a babe https://t.co/AXje4e15CR,[],Wed Jan 16 00:35:30 +0000 2019,4536
Kevin,215298957,91674,@danierruu I'm really trying here,[],Tue Jan 15 21:26:22 +0000 2019,41
Kevin,215298957,91674,Can I get a howdy mister,[],Tue Jan 15 21:13:46 +0000 2019,4861
Kevin,215298957,91674,"Red Dead online, I am the most annoying man in the west. Watch me prove it #ad https://t.co/wUJ6rt1hw6",ad,Tue Jan 15 20:01:59 +0000 2019,780
Kevin,215298957,91674,"@Kiwion I hope you missed another train over it &gt;:( Not really, your luck with trains is too bad already, have a blessed day",[],Tue Jan 15 12:31:42 +0000 2019,77
Kevin,215298957,91674,"Feck, just realized why youtube removed my video for misleading tags. One of them had ""funny"" in it",[],Tue Jan 15 02:47:47 +0000 2019,5819
Kevin,215298957,91674,"@azugirl111 I'm guessing it must be an error, there is nothing that is even remotely misleading",[],Tue Jan 15 02:46:54 +0000 2019,73
Kevin,215298957,91674,Appeal for the new video got rejected. Youtube support said they will escalate it and review it again... really con… https://t.co/PywUQnsfKX,[],Tue Jan 15 02:44:53 +0000 2019,1865
Kevin,215298957,91674,"Sorry folks, tonight's video has been locked by @TeamYouTube (Would be amazing if you could fix this) because of ""M… https://t.co/aL2DhFInHs",[],Tue Jan 15 01:29:24 +0000 2019,1891
Kevin,215298957,91674,"@Mr_Yeet445 @RTGameCrowd We don't get along, old Irish feud that goes back decades",[],Mon Jan 14 23:50:12 +0000 2019,286
Kevin,215298957,91674,"In Escapists 2 we find out that I am not cut out for prison, I definitely belong there though https://t.co/N6nriWXmP7",[],Mon Jan 14 20:02:39 +0000 2019,726
Kevin,215298957,91674,@theholypan Read the name. ONLY refer to me by Kevin1811,[],Mon Jan 14 01:34:21 +0000 2019,12
Kevin,215298957,91674,"It's Kevin, Me Kevin, Call Me Kevin. From Russia With Love but I am a very special agent. https://t.co/T4ZV9YYxvT",[],Sun Jan 13 20:32:19 +0000 2019,1082
Kevin,215298957,91674,"Prisoner of Azkaban, in hogwarts everything is out to get me https://t.co/Rc6SJ84JNW",[],Sat Jan 12 20:02:24 +0000 2019,726
Kevin,215298957,91674,"Sims 4, I drastically improve my k/d. Working my way to the top of the leaderboards https://t.co/hjNGnEtdUI",[],Fri Jan 11 20:01:56 +0000 2019,1043
Kevin,215298957,91674,RT @YTCreators: UPDATE: Lawmakers in the European Union are meeting again on January 21 to try to finalize the text of Article 13. Thank yo…,[],Fri Jan 11 12:13:28 +0000 2019,18041
Kevin,215298957,91674,"@_ejayb HECK YES, let's bench press someone",[],Thu Jan 10 21:33:42 +0000 2019,4
Kevin,215298957,91674,"@Leiachansan I don't do parties, I am the party",[],Thu Jan 10 21:32:57 +0000 2019,60
Kevin,215298957,91674,@LucieePie_ About to break down the hottest royalty free YouTube music of 2019,[],Thu Jan 10 21:32:18 +0000 2019,74
Kevin,215298957,91674,"@_ejayb Sorry to hear that :/ I joined a hotel gym, less selfies, more oldies. I like it a lot",[],Thu Jan 10 21:24:05 +0000 2019,4
Fortnite,425871040,7179588,Become a pinball wizard with bumpers and flippers in #FortniteCreative! 🧙 https://t.co/6vHBOGjaO4,FortniteCreative,Tue Mar 05 21:00:07 +0000 2019,6960
Fortnite,425871040,7179588,"X marks the spot! Downtime begins tomorrow, March 6th at 4 AM ET (0900 UTC).",[],Tue Mar 05 20:01:00 +0000 2019,11673
Fortnite,425871040,7179588,Catch some air and find some coin in Dolphindom's Driftin' Dolphins Skate Park! 🐬 #FortniteCreative… https://t.co/A1cuEP4HLn,FortniteCreative,Tue Mar 05 19:00:25 +0000 2019,5622
Fortnite,425871040,7179588,Love is war. 💔 Hearts will break in Save the World's Love Storm Event! https://t.co/uA7Qd5Z7Gn,[],Tue Mar 05 17:00:54 +0000 2019,10405
Fortnite,425871040,7179588,Coming soon! Embrace exploration and uncover Buried Treasure 🗺️ X marks the spot! https://t.co/xJsT48PKwG,[],Tue Mar 05 02:00:03 +0000 2019,14308
Fortnite,425871040,7179588,"Hide in plain sight.

The new Hypernova Outfit and Brute Force Pickaxe join the Red Knight and Crimson Axe in the I… https://t.co/mIibeYERrL",[],Tue Mar 05 00:00:06 +0000 2019,12019
Fortnite,425871040,7179588,"Master 6 levels of fun in Makamahon123's #FortniteCreative Island: Fortnite Mobile! 📱

https://t.co/HTRIAuGyoX https://t.co/ltiTykXJFa",FortniteCreative,Mon Mar 04 21:00:00 +0000 2019,6950
